layer,index,s,s_over_s1,log10_s_over_s1
3.0,195.0,9.483097764189147e-5,3.8750141017923895e-6,-5.411726712688129
3.0,196.0,9.227495299527393e-5,3.7705689953887142e-6,-5.423593107907868
3.0,197.0,9.224938116923957e-5,3.7695240711566145e-6,-5.423713479056316
3.0,198.0,8.829138321087503e-5,3.607791077519809e-6,-5.4427586198294815
3.0,199.0,8.827611687942002e-5,3.60716725974273e-6,-5.44283371953382
3.0,200.0,7.729160728464818e-5,3.158314673389011e-6,-5.500544601969196
3.0,201.0,7.727839034265359e-5,3.1577745984273773e-6,-5.500618873109495
3.0,202.0,7.508332638448221e-5,3.0680791845050305e-6,-5.513133435808519
3.0,203.0,7.241206638774892e-5,2.958925293927372e-6,-5.528865999639867
3.0,204.0,7.09176772715126e-5,2.897861082179514e-6,-5.537922437598086
3.0,205.0,7.090548895833217e-5,2.8973630393814154e-6,-5.537997084319234
3.0,206.0,6.946888453868189e-5,2.8386600446082924e-6,-5.546886615079293
3.0,207.0,6.946525506646902e-5,2.83851173594e-6,-5.546909305826997
3.0,208.0,6.858003152065846e-5,2.8023394448959468e-6,-5.552479260157849
3.0,209.0,6.857127952691278e-5,2.801981818094804e-6,-5.552534687153997
4.0,1.0,22.481782598102225,1.0,0.0
4.0,2.0,0.5380283073559039,0.02393174584836173,-1.6210256179493359
4.0,3.0,0.48257888859479625,0.02146533027303327,-1.6682624249272682
4.0,4.0,0.417849360377224,0.018586131173268097,-1.7308110021034335
4.0,5.0,0.409226752968019,0.018202593641420742,-1.7398667260861331
4.0,6.0,0.2708150526532215,0.012045977736484385,-1.9191579438327897
4.0,7.0,0.2708148678573613,0.012045969516679779,-1.919158240182084
4.0,8.0,0.2629493544480353,0.011696107873146674,-1.931958634871825
4.0,9.0,0.262949244125845,0.011696102965965056,-1.9319588170830673
4.0,10.0,0.2505034115378819,0.011142506624854023,-1.9530170990289353
4.0,11.0,0.25050320920398006,0.01114249762494928,-1.953017449812711
4.0,12.0,0.2408049994431028,0.01071111680723352,-1.9701652445806346
4.0,13.0,0.24080469321506479,0.010711103186069954,-1.970165796866642
4.0,14.0,0.1555029491750221,0.006916842492202941,-2.1600921138031692
4.0,15.0,0.14270410837304492,0.006347544183844707,-2.197394267416326
4.0,16.0,0.07612290683772625,0.003385981805737775,-2.4703153798623214
4.0,17.0,0.0761226475092838,0.0033859702706897274,-2.4703168593789098
4.0,18.0,0.07343994938754705,0.003266642627962536,-2.485898374919505
4.0,19.0,0.07343967053043904,0.0032666302242704884,-2.485900023972019
4.0,20.0,0.06449995381545094,0.00286898752507711,-2.5422713401478503
4.0,21.0,0.06449947163966198,0.0028689660776768933,-2.5422745867713714
4.0,22.0,0.06045174864237337,0.00268892150249137,-2.570421875921899
4.0,23.0,0.06045162606366992,0.0026889160501344265,-2.5704227565466895
4.0,24.0,0.05224398564744973,0.002323836440436883,-2.633794442338264
4.0,25.0,0.0522438554175745,0.00232383064775231,-2.63379552491621
4.0,26.0,0.05057111850544732,0.0022494265427918615,-2.6479281845748943
4.0,27.0,0.04547182285477229,0.0020226075337375937,-2.6940883794475194
4.0,28.0,0.04467462881117088,0.0019871479770888828,-2.7017697910480845
4.0,29.0,0.04272305191279998,0.0019003409416656488,-2.7211684749415648
4.0,30.0,0.03649769511262139,0.0016234342162752833,-2.7895653048744276
4.0,31.0,0.03649661141348133,0.0016233860128405545,-2.789578200251588
4.0,32.0,0.025156930302049355,0.001118991796681325,-2.9511730972688732
4.0,33.0,0.0251564207857215,0.0011189691331614003,-2.951181893348834
4.0,34.0,0.024816202245094263,0.001103836056451729,-2.9570954239487133
4.0,35.0,0.024547655838359987,0.0010918909891261092,-2.961820718027066
4.0,36.0,0.024547288155481958,0.0010918746344230768,-2.961827223081641
4.0,37.0,0.023494062860323565,0.0010450266902904217,-2.9808726174018987
4.0,38.0,0.023065013469131836,0.0010259423766102447,-2.988877031254399
4.0,39.0,0.02204064053510844,0.000980377798732427,-3.008606532178396
4.0,40.0,0.02178672278007284,0.000969083420542993,-3.0136388364454985
4.0,41.0,0.021786346382422342,0.0009690666782028847,-3.013646339585661
4.0,42.0,0.020711464180559715,0.0009212554249282729,-3.035619941727761
