n,family,r,chi,at_ceiling,eps_chi,obs,O_exact,err_direct,err_dmpf,ratio,err_proj,err_best_single,cond_N,singular,relerr_N,dc_max,dcNdc,dc_frac_null,corr_min,time_s
10,3-8,2,48,no,1.361174e-04,Z10,0.7890456106,7.07522541e-03,2.42963101e-03,2.912058,2.90994728e-03,9.96819764e-03,4.144073e+01,false,9.116445e-02,7.687146e-03,1.632747e-06,0.779138,0.310658,2114.1
10,4-8-16,3,64,no,4.323848e-05,Z_mid,0.0450521809,2.39086714e-03,5.53028691e-06,432.322441,5.56633199e-06,3.25077083e-04,2.914169e+02,false,5.341213e-02,3.851305e-01,4.116963e-06,0.824183,0.576453,2140.5
10,4-8-16,3,64,no,4.323848e-05,ZZ_mid,-0.4400287306,1.83902703e-03,1.01733718e-03,1.807687,6.84454007e-05,2.79833993e-03,2.914169e+02,false,5.341213e-02,3.851305e-01,4.116963e-06,0.824183,0.576453,2140.5
10,4-8-16,3,64,no,4.323848e-05,Z_mean,0.2591817793,1.75525949e-03,1.65534253e-13,10603602947.747484,1.64313008e-13,1.66089364e-13,2.914169e+02,false,5.341213e-02,3.851305e-01,4.116963e-06,0.824183,0.576453,2140.5
10,4-8-16,3,64,no,4.323848e-05,Z1,0.5528241271,3.40750017e-03,2.51155298e-04,13.567304,7.48038680e-07,3.11622633e-04,2.914169e+02,false,5.341213e-02,3.851305e-01,4.116963e-06,0.824183,0.576453,2140.5
10,4-8-16,3,64,no,4.323848e-05,Z2,-0.1136137213,1.36521404e-03,3.67127891e-04,3.718633,3.62467186e-05,1.90578709e-03,2.914169e+02,false,5.341213e-02,3.851305e-01,4.116963e-06,0.824183,0.576453,2140.5
10,4-8-16,3,64,no,4.323848e-05,Z3,0.3263197306,2.23238751e-05,4.87484168e-04,0.045794,5.23238251e-05,3.12562876e-03,2.914169e+02,false,5.341213e-02,3.851305e-01,4.116963e-06,0.824183,0.576453,2140.5
10,4-8-16,3,64,no,4.323848e-05,Z4,0.2065606881,2.50974999e-03,3.51593440e-04,7.138216,3.28233880e-05,2.18482176e-03,2.914169e+02,false,5.341213e-02,3.851305e-01,4.116963e-06,0.824183,0.576453,2140.5
10,4-8-16,3,64,no,4.323848e-05,Z5,0.0450521809,2.39086714e-03,5.53028691e-06,432.322441,5.56633199e-06,3.25077083e-04,2.914169e+02,false,5.341213e-02,3.851305e-01,4.116963e-06,0.824183,0.576453,2140.5
10,4-8-16,3,64,no,4.323848e-05,Z6,0.3309519723,2.36431661e-03,3.23052541e-04,7.318675,6.66329761e-05,3.71485585e-03,2.914169e+02,false,5.341213e-02,3.851305e-01,4.116963e-06,0.824183,0.576453,2140.5
10,4-8-16,3,64,no,4.323848e-05,Z7,0.0529617514,1.38046071e-03,1.34139610e-04,10.291223,6.16777835e-05,2.81344650e-03,2.914169e+02,false,5.341213e-02,3.851305e-01,4.116963e-06,0.824183,0.576453,2140.5
10,4-8-16,3,64,no,4.323848e-05,Z8,0.3827838627,6.56074660e-04,3.59823078e-05,18.233257,9.81389210e-06,2.14667094e-05,2.914169e+02,false,5.341213e-02,3.851305e-01,4.116963e-06,0.824183,0.576453,2140.5
10,4-8-16,3,64,no,4.323848e-05,Z9,0.0189315908,1.90606980e-03,4.98403056e-04,3.824354,1.92516197e-05,6.18591574e-04,2.914169e+02,false,5.341213e-02,3.851305e-01,4.116963e-06,0.824183,0.576453,2140.5
10,4-8-16,3,64,no,4.323848e-05,Z10,0.7890456106,6.33175221e-03,3.31084583e-04,19.124274,5.55852775e-05,2.47696875e-03,2.914169e+02,false,5.341213e-02,3.851305e-01,4.116963e-06,0.824183,0.576453,2140.5
10,3-8,2,64,no,4.323848e-05,Z_mid,0.0450521809,2.39086714e-03,5.77898881e-05,41.371721,5.94811341e-05,1.34563828e-03,1.042583e+02,false,1.941633e-02,1.485414e-04,6.096547e-10,0.779138,0.354730,2140.5
